rule,severity,status,violations,sample_ids
1. No nulls in required fields,Critical,FAIL,7,"REC00110, REC00204, REC00440, REC00451, REC00592, REC00612, REC00648"
2. No duplicate record_id,Critical,FAIL,8,"REC00000, REC00000, REC00000, REC00000, REC00000, REC00000, REC00000, REC00000"
3. Date format YYYY-MM-DD,Major,FAIL,7,"REC00048, REC00088, REC00210, REC00216, REC00428, REC00520, REC00598"
4. delivery_date after date,Major,FAIL,6,"REC00044, REC00097, REC00115, REC00166, REC00295, REC00356"
5. amount > 0,Critical,FAIL,7,"REC00008, REC00110, REC00345, REC00478, REC00490, REC00620, REC00644"
6. amount within 3 SD (outlier),Minor,FAIL,12,"REC00015, REC00111, REC00135, REC00224, REC00266, REC00396, REC00403, REC00469, REC00474, REC00504 …"
"7. currency in {INR, USD, EUR, GBP}",Major,FAIL,9,"REC00002, REC00026, REC00092, REC00183, REC00204, REC00344, REC00451, REC00527, REC00612"
8. vendor_id in reference list,Critical,FAIL,3,"REC00440, REC00592, REC00648"
"9. payment_status in {paid, pending, overdue}",Major,FAIL,6,"REC00117, REC00118, REC00187, REC00198, REC00268, REC00607"
10. All columns ≥ 95% non-null,Minor,PASS,0,
